lemma,rank
conseguir,589
amo,590
propia,591
propio,592
sitio,593
resto,594
oficina,595
libre,596
segura,597
peor,598
estará,599
poner,600
fuerza,601
marido,602
arma,603
puta,604
oído,605
llevar,606
podrías,607
ejemplo,608
mucha,609
control,610
esperando,611
atención,612
don,613
fuego,614
llamado,615
madrid,616
viaje,617
dormir,618
cuarto,619
dr.,620
siguiente,621
matar,622
habían,623
hagas,624
ambos,625
habrá,626
perdido,627
prueba,628
futuro,629
campo,630
deben,631
hospital,632
di,633
ellas,634
vivo,635
piensa,636
semanas,637
edad,638
ayudar,639
venido,640
murió,641
película,642
san,643
maldita,644
estados,645
niña,646
vista,647
junto,648
correcto,649
llamar,650
basta,651
john,652
aire,653
encima,654
cielo,655
iré,656
buscar,657
programa,658
personal,659
café,660
detrás,661
público,662
minuto,663
director,664
llegó,665
demonios,666
pienso,667
verte,668
acaba,669
boca,670
diga,671
anoche,672
vuelve,673
dirección,674
llamada,675
ud.,676
servicio,677
ésta,678
idiota,679
jugar,680
mala,681
social,682
médico,683
mes,684
obra,685
asunto,686
perder,687
dejó,688
armas,689
duro,690
querido,691
preguntas,692
queremos,693
perdón,694
pie,695
mayoría,696
unidos,697
segunda,698
empezar,699
mía,700
digas,701
hacemos,702
perro,703
señorita,704
ropa,705
hacía,706
papel,707
sueño,708
oficial,709
extraño,710
negro,711
jamás,712
hará,713
afuera,714
sol,715
media,716
diablos,717
necesario,718
noticias,719
increíble,720
josé,721
principio,722
respuesta,723
llegado,724
universidad,725
maldito,726
juan,727
vemos,728
haría,729
compañía,730
cambiar,731
dolor,732
mesa,733
mensaje,734
nivel,735
pudo,736
s,737
decisión,738
línea,739
diferente,740
aquel,741
libertad,742
alrededor,743
vio,744
mitad,745
i,746
espacio,747
respecto,748
pena,749
trabajando,750
agente,751
sexo,752
sociedad,753
salud,754
investigación,755
suena,756
proceso,757
aqui,758
encontrado,759
tratando,760
usar,761
trato,762
querida,763
siete,764
blanco,765
supone,766
raro,767
consejo,768
diré,769
zona,770
jack,771
últimos,772
error,773
mejores,774
hubo,775
perfecto,776
tema,777
reunión,778
piensas,779
york,780
sucede,781
podríamos,782
carta,783
secreto,784
siente,785
gusto,786
decía,787
ganar,788
base,789
odio,790
decirle,791
ocurre,792
sean,793
maría,794
suelo,795
hotel,796
silencio,797
daño,798
amiga,799
pobre,800
partir,801
asesino,802
entiendes,803
encuentra,804
quieras,805
fondo,806
pensaba,807
existe,808
srta.,809
darle,810
dan,811
baño,812
carrera,813
conoces,814
acción,815
duda,816
vuelto,817
partes,818
interior,819
tendrá,820
imposible,821
pagar,822
mente,823
divertido,824
sala,825
acabo,826
negocio,827
apenas,828
ocho,829
próxima,830
ejército,831
mar,832
estaré,833
cita,834
pelo,835
abogado,836
diferentes,837
conoce,838
recuerda,839
asesinato,840
recuerdas,841
vive,842
ay,843
energía,844
banco,845
arte,846
empresa,847
foto,848
normal,849
seas,850
casos,851
novia,852
totalmente,853
países,854
izquierda,855
conocer,856
proyecto,857
estaría,858
cámara,859
causa,860
estábamos,861
cállate,862
capaz,863
pesar,864
iglesia,865
parecía,866
pruebas,867
derecha,868
siglo,869
mantener,870
ministro,871
uh,872
sentir,873
salvo,874
baja,875
quienes,876
dejado,877
hicieron,878
caja,879
profesor,880
estuve,881
cargo,882
opinión,883
club,884
verlo,885
decirte,886
encontré,887
desarrollo,888
haz,889
aquella,890
accidente,891
quiera,892
carlos,893
terminado,894
mercado,895
próximo,896
total,897
sal,898
varios,899
pase,900
cualquiera,901
david,902
oro,903
encuentro,904
valor,905
cena,906
deseo,907
funciona,908
comprar,909
posición,910
estudio,911
movimiento,912
finalmente,913
nuevos,914
salió,915
hambre,916
completamente,917
encanta,918
formas,919
norte,920
aun,921
adónde,922
lamento,923
experiencia,924
debido,925
loca,926
tuyo,927
m,928
llega,929
vosotros,930
alta,931
fuiste,932
tipos,933
contacto,934
alma,935
tranquilo,936
dijeron,937
color,938
justicia,939
placer,940
disculpe,941
mató,942
radio,943
busca,944
muertos,945
pone,946
imagen,947
especie,948
pudiera,949
ex,950
llamo,951
puso,952
entra,953
montón,954
cárcel,955
tienda,956
corte,957
carne,958
éxito,959
conocido,960
muchacho,961
viste,962
peligro,963
principal,964
delante,965
interesante,966
sale,967
pude,968
común,969
hablas,970
creí,971
barco,972
sientes,973
pies,974
tenías,975
bonito,976
traje,977
sur,978
ataque,979
entendido,980
quisiera,981
michael,982
podrían,983
maestro,984
jóvenes,985
posibilidad,986
escuchar,987
terminar,988
diferencia,989
escena,990
humano,991
caballeros,992
departamento,993
datos,994
defensa,995
evitar,996
negocios,997
simple,998
eras,999
objetivo,1000
cabo,1001
verdadero,1002
abuela,1003
prensa,1004
novio,1005
canción,1006
llamó,1007
haremos,1008
